Edad,Ingresos_Anuales,Experiencia_Tecnológica,Estrategia_Marketing,Adopcion_Servicio_Nube,Interacciones_Redes_Sociales
18,3763.4612518456865,Media,Marketing de Influencia,No,96.68985635696707
21,3935.164936953955,Media,Marketing de Contenido,Sí,68.20421421813955
21,2122.9340384433053,Baja,Publicidad en Línea,No,70.42301098492142
57,3796.52898596282,Media,Publicidad en Línea,Sí,65.46980081519742
27,1629.1977703037812,Media,Publicidad en Eventos,No,21.287057041851
37,2992.2857668579863,Media,Marketing de Contenido,Sí,44.331121950859696
39,3766.1440351079627,Alta,Marketing de Contenido,Sí,52.258948938233374
54,360.06127631029045,Baja,Publicidad en Eventos,Sí,37.14570025614312
41,3706.0099962183886,Alta,Publicidad en Eventos,Sí,83.09724712460465
24,3574.6854170553056,Baja,Publicidad en Eventos,No,91.24433057068222
42,1060.2974697032887,Media,Marketing de Influencia,Sí,93.63045673713768
42,1815.9403190626736,Alta,Publicidad en Eventos,No,74.84843923644384
30,754.8026801577729,Media,Marketing de Influencia,No,87.38929195272296
19,3064.5911859993257,Alta,Publicidad en Línea,Sí,55.106236175116564
56,3176.4301726638414,Baja,Marketing de Influencia,Sí,21.81168229867183
57,3559.4851055947684,Media,Publicidad en Eventos,No,24.599962285039666
41,1933.3722544852408,Alta,Marketing de Influencia,Sí,89.54324284433358
42,2631.22751362687,Baja,Marketing de Influencia,Sí,99.62946231014422
35,3421.495824960514,Media,Marketing de Influencia,Sí,59.77346884057299
55,645.4997738181847,Media,Marketing de Influencia,Sí,70.50164803270259
43,740.8852200747383,Media,Publicidad en Eventos,No,13.690709846895698
31,3325.803217504842,Alta,Marketing de Influencia,Sí,9.405127760428512
26,1935.287052739898,Alta,Publicidad en Línea,No,46.60327834320318
27,3270.616734960778,Alta,Marketing de Contenido,Sí,40.75655866851597
38,300.55640999916545,Media,Publicidad en Línea,Sí,65.02535610172492
34,725.6038945486141,Baja,Marketing de Contenido,Sí,96.79432275072209
23,1662.870078160914,Baja,Marketing de Contenido,Sí,28.794355914998093
33,1771.3316422039964,Baja,Publicidad en Eventos,Sí,34.51518657464728
18,3384.904158612205,Media,Marketing de Influencia,Sí,71.70523830496526
36,2186.195243817405,Baja,Publicidad en Línea,No,74.49641539548632
53,3696.468775993785,Media,Marketing de Influencia,Sí,40.94377727717564
42,1871.3815110602577,Baja,Marketing de Contenido,Sí,13.75610096688672
47,547.7662546803224,Alta,Marketing de Contenido,Sí,95.99599907689449
37,1994.459565465722,Alta,Marketing de Influencia,No,72.49312963059607
37,1820.7324997449957,Media,Publicidad en Línea,Sí,39.632724198294746
32,2332.9918320943702,Media,Marketing de Contenido,No,34.18983483882396
57,2667.36786963692,Baja,Publicidad en Eventos,Sí,82.8684703505299
50,517.946540636387,Alta,Marketing de Influencia,Sí,48.60768621756285
19,2584.858900836273,Media,Marketing de Influencia,Sí,42.2093756821325
27,789.4125801319758,Alta,Marketing de Contenido,Sí,67.21650487630653
50,1897.7087803504319,Baja,Publicidad en Eventos,Sí,94.69156762839671
49,3601.6216403831777,Alta,Marketing de Influencia,Sí,55.345638327738115
28,795.1951538608355,Alta,Marketing de Influencia,Sí,83.31007649609028
41,1072.4101744530494,Media,Publicidad en Línea,Sí,74.97596809994288
53,1865.1694246476843,Alta,Marketing de Contenido,Sí,64.56658086656903
29,523.4573236225569,Baja,Publicidad en Línea,No,90.07623592312697
46,1359.2234714906608,Media,Publicidad en Eventos,Sí,78.53298263004291
52,586.6357729556908,Media,Marketing de Contenido,Sí,13.922972886971696
18,2065.0613979729724,Media,Marketing de Contenido,Sí,24.60862519380044
18,2421.5012818629116,Alta,Marketing de Contenido,No,49.41776162700182
54,3072.3447153581196,Alta,Marketing de Contenido,Sí,47.1829044240806
23,3715.985706444102,Baja,Marketing de Contenido,Sí,25.437144037968718
56,1919.1973082439772,Baja,Marketing de Influencia,Sí,30.45381595711717
58,2622.8968210195417,Alta,Publicidad en Línea,No,61.999326184903246
35,522.2526762990832,Baja,Publicidad en Línea,No,84.66841118250025
33,2058.66116478403,Alta,Marketing de Contenido,Sí,99.2254415885623
22,3519.027242950883,Media,Marketing de Contenido,No,86.34003061532279
59,2491.431142205493,Baja,Publicidad en Eventos,No,10.285896447518805
49,1687.8752280934623,Media,Publicidad en Línea,Sí,80.3443110499369
